Ticker,ShortName,Sector,Industry,Price
MMM,3M,Industrials,Industrial Conglomerates,142.0800018310547
AOS,A. O. Smith,Industrials,Building Products,68.44999694824219
ABT,Abbott Laboratories,Health Care,Health Care Equipment,132.82000732421875
ABBV,AbbVie,Health Care,Biotechnology,198.47000122070312
ACN,Accenture,Information Technology,IT Consulting & Other Services,305.3299865722656
ADBE,Adobe Inc.,Information Technology,Application Software,380.8699951171875
AMD,Advanced Micro Devices,Information Technology,Semiconductors,98.80000305175781
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10.180000305175781
AFL,Aflac,Financials,Life & Health Insurance,105.52999877929688
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,108.62999725341797
APD,Air Products,Materials,Industrial Gases,277.6199951171875
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",125.26000213623047
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,82.54000091552734
ALB,Albemarle Corporation,Materials,Specialty Chemicals,60.29999923706055
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,74.47000122070312
ALGN,Align Technology,Health Care,Health Care Supplies,179.82000732421875
ALLE,Allegion,Industrials,Building Products,140.92999267578125
LNT,Alliant Energy,Utilities,Electric Utilities,61.16999816894531
ALL,Allstate,Financials,Property & Casualty Insurance,199.3000030517578
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,164.02999877929688
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,165.80999755859375
MO,Altria,Consumer Staples,Tobacco,59.61000061035156
AMZN,Amazon,Consumer Discretionary,Broadline Retail,189.97999572753906
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,9.319999694824219
AEE,Ameren,Utilities,Multi-Utilities,99.4800033569336
AEP,American Electric Power,Utilities,Electric Utilities,107.69000244140625
AXP,American Express,Financials,Consumer Finance,276.8500061035156
AIG,American International Group,Financials,Multi-line Insurance,83.66000366210938
AMT,American Tower,Real Estate,Telecom Tower REITs,223.60000610351562
AWK,American Water Works,Utilities,Water Utilities,147.11000061035156
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,484.4800109863281
AME,Ametek,Industrials,Electrical Components & Equipment,170.07000732421875
AMGN,Amgen,Health Care,Biotechnology,281.2200012207031
APH,Amphenol,Information Technology,Electronic Components,80.66000366210938
ADI,Analog Devices,Information Technology,Semiconductors,198.58999633789062
ANSS,Ansys,Information Technology,Application Software,328.760009765625
AON,Aon plc,Financials,Insurance Brokers,356.25
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,16.459999084472656
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,135.3699951171875
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",205.35000610351562
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,155.10000610351562
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,58.970001220703125
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,92.4800033569336
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,47.849998474121094
ANET,Arista Networks,Information Technology,Communications Equipment,91.0199966430664
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,331.0799865722656
AIZ,Assurant,Financials,Multi-line Insurance,197.02000427246094
T,AT&T,Communication Services,Integrated Telecommunication Services,27.610000610351562
ATO,Atmos Energy,Utilities,Gas Utilities,161.5
ADSK,Autodesk,Information Technology,Application Software,279.989990234375
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,303.57000732421875
AZO,AutoZone,Consumer Discretionary,Automotive Retail,3756.330078125
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,212.1999969482422
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,171.4199981689453
AXON,Axon Enterprise,Industrials,Aerospace & Defense,628.1599731445312
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,37.099998474121094
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",51.65999984741211
BAC,Bank of America,Financials,Diversified Banks,41.06999969482422
BAX,Baxter International,Health Care,Health Care Equipment,30.709999084472656
BDX,Becton Dickinson,Health Care,Health Care Equipment,168.77999877929688
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,539.7999877929688
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,68.06999969482422
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,50.4900016784668
BIIB,Biogen,Health Care,Biotechnology,123.52999877929688
BLK,BlackRock,Financials,Asset Management & Custody Banks,929.2000122070312
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,137.4199981689453
BK,BNY Mellon,Financials,Asset Management & Custody Banks,82.13999938964844
BA,Boeing,Industrials,Aerospace & Defense,185.4600067138672
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",5202.7998046875
BSX,Boston Scientific,Health Care,Health Care Equipment,104.93000030517578
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,50.56999969482422
AVGO,Broadcom,Information Technology,Semiconductors,203.63999938964844
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,232.91000366210938
BRO,Brown & Brown,Financials,Insurance Brokers,110.56999969482422
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,34.5
BLDR,Builders FirstSource,Industrials,Building Products,114.12999725341797
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,79.20999908447266
BXP,"BXP, Inc.",Real Estate,Office REITs,65.05000305175781
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,90.83000183105469
CDNS,Cadence Design Systems,Information Technology,Application Software,308.1499938964844
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,27.799999237060547
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,120.87000274658203
